A-249	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-249-LFB4825_L4_DSG.bam	S6_7_F_A
A-307	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-307-LFB4804_L4_DSG.bam	S6_7_F_A
A-394	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-394-LFB4822_L4_DSG.bam	S6_7_F_A
A-667	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-667-LFC0836_L4_DSG.bam	S6_7_F_A
A-718	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-718-LFB4837_L4_DSG.bam	S6_7_F_A
O-144	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-144-LFB4812_L4_DSG.bam	S6_7_F_O
O-159	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-159-LFB4819_L4_DSG.bam	S6_7_F_O
O-198	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-198-LFB4831_L4_DSG.bam	S6_7_F_O
O-218	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-218-LFB4845_L4_DSG.bam	S6_7_F_O
O-222	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-222-LFB4838_L4_DSG.bam	S6_7_F_O
O-767	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-767-LFB4813_L4_DSG.bam	S6_7_F_O
O-771	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-771-LFB4809_L4_DSG.bam	S6_7_F_O
O-799	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-799-LFB4827_L4_DSG.bam	S6_7_F_O
A-325	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-325-LFB4817_L4_DSG.bam	S6_7_M_A
A-567	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-567-LFC0837_L4_DSG.bam	S6_7_M_A
A-659	/Volumes/Seagate\ Basic/O054_pan_star_filtered/A-659-LFC0838_L4_DSG.bam	S6_7_M_A
O-170	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-170-LFB4810_L4_DSG.bam	S6_7_M_O
O-213	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-213-LFB4821_L4_DSG.bam	S6_7_M_O
O-749	/Volumes/Seagate\ Basic/O054_pan_star_filtered/O-794-LFB4808_L4_DSG.bam	S6_7_M_O
